Name,RA(J2000),DEC(J2000),Radius,magnitude
Gaia DR3 4144740025867539968,17 51 03.582,-17 16 48.977,0.5,14.86
Gaia DR3 4144719105160856192,17 51 32.344,-17 33 52.697,0.5,-
IRAS 17484-2746,17 51 42.849,-27 47 21.183,0.5,-
Gaia DR3 4068719654516762880,17 51 45.835,-22 43 15.224,0.5,-
JaSt 79,17 51 53.553,-29 30 53.659,0.5,18.94
Gaia DR3 4119389002876859776,17 51 55.766,-19 57 08.372,0.5,-
Bl 3-14,17 52 25.931,-29 45 57.060,0.5,14.18
Gaia DR3 4056396328168933632,17 52 26.158,-29 52 35.911,0.5,-
Gaia DR3 4119603300272990848,17 52 26.602,-18 58 41.595,0.5,-
[MMU2013] 000.49-01.45,17 52 31.211,-29 15 34.827,0.5,-
CXOGBS J175233.2-293944,17 52 33.277,-29 39 45.557,0.5,11.12
Gaia DR3 4144949933902578560,17 52 38.206,-16 23 53.814,0.5,15.59
IRAS 17495-2534,17 52 39.455,-25 34 37.952,0.5,-
SS 326,17 53 20.414,-29 53 27.520,0.5,-
[MMU2013] 001.37-01.15,17 53 21.253,-28 20 47.335,0.5,-
Gaia DR3 4148461911416793216,17 53 24.893,-15 08 27.518,0.5,-
FASTT 1100,17 53 45.306,-01 07 46.924,0.5,14.00
VPHASDR2J175346.2-2848261.6,17 53 46.187,-28 48 26.667,0.5,-
Gaia DR3 4056481063567982592,17 54 04.894,-29 53 10.976,0.5,-
Gaia DR3 4119139173305940608,17 54 07.415,-20 11 20.771,0.5,-
Gaia DR3 4119105225879445120,17 54 23.383,-20 41 35.358,0.5,-
Gaia DR3 4070685860557940224,17 54 37.295,-20 53 28.809,0.5,-
VPHASDR2J175527.9-222339.6,17 55 27.924,-22 23 39.670,0.5,-
MaC 1-9,17 55 52.681,-14 06 49.214,0.5,15.78
Gaia DR2 4150446010182968192,17 56 04.344,-13 10 03.560,0.5,13.10
VPHASDR2J175645.2-285154.4,17 56 45.166,-28 51 54.504,0.5,-
VPHASDR2J175648.7-285837.0,17 56 48.677,-28 58 37.146,0.5,19.25
Gaia DR3 4143675015742279040,17 56 50.750,-18 13 27.214,0.5,-
VPHASDR2J175704.2-285034.8,17 57 04.182,-28 50 34.900,0.5,-
V2416 Sgr,17 57 16.011,-21 41 29.094,0.5,15.78
Gaia DR3 4143726143083219584,17 57 21.067,-17 47 30.309,0.5,-
PHR J1757-2718,17 57 32.464,-27 18 25.388,0.5,-
OQ Her,17 57 54.441,+31 25 29.820,0.5,11.12
PHR J1758-2606,17 58 03.526,-26 05 19.394,0.5,-
Gaia DR3 4144646159441622656,17 58 19.843,-16 45 29.254,0.5,-
H 1-45,17 58 21.860,-28 14 52.248,0.5,15.60
H 2-34,17 58 28.031,-28 33 42.129,0.5,-
IGR J17586-2129,17 58 34.553,-21 23 21.596,0.5,-
Gaia DR3 4148561623390503808,17 58 40.136,-14 33 25.375,0.5,-
Gaia DR3 4143641789913090688,17 58 50.662,-18 15 19.475,0.5,-
Gaia DR3 4062334348156623232,17 59 14.565,-29 12 26.745,0.5,17.38
